fixture_id,date,status,home_team,away_team,home_goals,away_goals,home_attack_form,home_defense_form,away_attack_form,away_defense_form
1005739,2023-06-11T21:30:00+00:00,FT,Flamengo,Gremio,3,0,2.353867821188253,0.9935318971362999,1.8733503729591572,1.178185801470972
1005743,2023-06-11T21:30:00+00:00,FT,Goias,Fluminense,2,2,0.6431589379792396,1.4893850086067502,1.2077617234364406,1.1159042303479214
1005751,2023-06-21T22:00:00+00:00,FT,Sao Paulo,Atletico Paranaense,2,1,1.1246531667384752,1.587005601034037,1.4427574321413184,1.4109435588108572
1005754,2023-06-21T22:00:00+00:00,FT,Cruzeiro,Fortaleza EC,0,1,1.2383972425678589,1.2926152520465317,0.5597587246876347,0.9577595863851788
1005752,2023-06-21T23:00:00+00:00,FT,Santos,Corinthians,0,2,0.5165015079707024,0.6357604480827231,0.7882636794485135,1.211046962516157
1005749,2023-06-22T00:30:00+00:00,FT,Fluminense,Atletico-MG,1,1,1.4765015079707025,1.4158035329599312,1.2783627746660924,0.6875484704868591
1005757,2023-06-22T00:30:00+00:00,FT,Bahia,Palmeiras,1,0,1.0442050840155106,1.4893925032313657,1.9860404997845758,0.5437311503662215
1005755,2023-06-22T22:00:00+00:00,FT,Gremio,America Mineiro,3,1,1.2378802240413616,1.7961740629039207,1.490564411891426,1.623127962085308
1005750,2023-06-22T23:00:00+00:00,FT,Vasco DA Gama,Goias,0,1,0.8849461439034899,2.483171046962516,1.1034209392503231,1.662593709607928
1005756,2023-06-22T23:00:00+00:00,FT,Coritiba,Internacional,0,1,0.7057302886686774,1.451271003877639,1.3617578629900906,1.1718569582076694
1005758,2023-06-22T23:00:00+00:00,FT,Cuiaba,Botafogo,0,1,0.9181042654028435,0.9030417923308921,1.444722102542008,0.42192158552348147
1005753,2023-06-23T00:30:00+00:00,FT,RB Bragantino,Flamengo,4,0,1.344472210254201,1.1188108573890567,2.5730461008186127,0.6565101249461441
1005766,2023-06-24T19:00:00+00:00,FT,Atletico Paranaense,Corinthians,1,0,1.2934454223039538,1.6095922877914777,1.1969000394062785,0.8026430762026057
1005759,2023-06-24T21:30:00+00:00,FT,Fluminense,Bahia,2,1,1.3158099132490764,1.2755812426113229,1.029297711580306,0.9871215712254212
1005767,2023-06-24T21:30:00+00:00,FT,Fortaleza EC,Atletico-MG,2,1,0.7082222057236192,0.6347723287968521,1.1844899171325936,0.7929171497267259
1005764,2023-06-25T00:00:00+00:00,FT,Cruzeiro,Sao Paulo,1,0,0.8207699644201283,1.1939360019189145,1.4198482001610517,1.3890484811449522
1005765,2023-06-25T19:00:00+00:00,FT,Gremio,Coritiba,5,1,1.8321235415393575,1.527678627519289,0.46773539540488535,1.2990879445342352
1005761,2023-06-25T19:00:00+00:00,FT,Palmeiras,Botafogo,0,1,1.3162839308048593,0.697599643630175,1.2947475428186344,0.2796360915824763
1005763,2023-06-25T21:30:00+00:00,FT,RB Bragantino,Goias,2,0,2.2400013706531734,0.7415119446713005,1.0685440807771602,1.101913774493287
1005768,2023-06-25T21:30:00+00:00,FT,America Mineiro,Internacional,1,2,1.3251303548278404,2.087453383514469,1.2397615063478375,0.7766691985676677
1005762,2023-06-25T21:30:00+00:00,FT,Santos,Flamengo,2,3,0.34232063004357544,1.0958257899816677,1.7053324119498114,1.7840421704293
1005760,2023-06-27T00:00:00+00:00,FT,Vasco DA Gama,Cuiaba,1,0,0.586513914985237,1.9829981895956004,0.6084900541979109,0.9357392103895512
1005771,2023-07-01T19:00:00+00:00,FT,Sao Paulo,Fluminense,1,0,0.9428893798177665,1.2583583801875433,1.5456446918051752,1.1830073291678127
1005777,2023-07-01T21:30:00+00:00,FT,Bahia,Gremio,1,2,1.0194559538821835,1.3273701277152528,2.896284216215191,1.350419554561056
1005769,2023-07-01T21:30:00+00:00,FT,Flamengo,Fortaleza EC,2,0,2.1402402601712356,1.8565872436450521,1.142159307474234,0.7574604860195888
1005775,2023-07-02T00:00:00+00:00,FT,Internacional,Cruzeiro,0,0,1.495142648550759,0.8516910182138829,0.8809773487944327,0.7928661502431995
1005772,2023-07-02T14:00:00+00:00,FT,Corinthians,RB Bragantino,0,1,0.7948345011330344,0.8689396884392573,2.159379533322588,0.4924214698157755
1005774,2023-07-02T19:00:00+00:00,FT,Atletico-MG,America Mineiro,2,2,1.122515620703714,1.198403322303236,1.2159117845054,2.0580758327091377
1005770,2023-07-02T19:00:00+00:00,FT,Botafogo,Vasco DA Gama,2,0,1.1957352397386913,0.18570006352577545,0.7254131545762262,1.3168646711355947
1005776,2023-07-02T19:00:00+00:00,FT,Atletico Paranaense,Palmeiras,2,2,1.1948705306772607,1.0688941774360239,0.8741146687652299,0.7991826982336042
1005778,2023-07-02T21:30:00+00:00,FT,Cuiaba,Santos,3,0,0.4040846125401778,0.9573258493016906,0.8991722686286967,1.7354805677497653
1005773,2023-07-03T23:00:00+00:00,FT,Goias,Coritiba,1,2,0.7095961846608957,1.4036010581308254,0.6465350008059241,2.542307218234742
1005780,2023-07-08T19:00:00+00:00,FT,Vasco DA Gama,Cruzeiro,0,1,0.48235990595984823,1.5457525261154346,0.5858015510698676,0.5272124433606052
1005788,2023-07-08T19:00:00+00:00,FT,Cuiaba,Bahia,1,1,1.2738588426807118,0.6365691106220105,1.0129371407531913,1.5527380777501985
1005786,2023-07-08T21:30:00+00:00,FT,Coritiba,America Mineiro,3,1,1.1000201118318726,2.0255495920576547,1.4786244011371068,2.0386172390552866
1005784,2023-07-08T21:30:00+00:00,FT,Atletico-MG,Corinthians,0,1,1.4165210818021967,1.4669822353891324,0.5285212885947,0.9128520910315733
1005781,2023-07-09T00:00:00+00:00,FT,Palmeiras,Flamengo,1,1,1.2513480916771693,1.2015224467588113,2.093252070604509,1.2345285477681227
1005782,2023-07-09T14:00:00+00:00,FT,Santos,Goias,4,3,0.5979001734409076,2.159164028696243,0.8068974126348959,1.6034274596486673
1005779,2023-07-09T19:00:00+00:00,FT,Fluminense,Internacional,2,0,1.0277688286780855,1.1216898225934682,0.9941877436352987,0.5663277497255903
1005783,2023-07-09T19:00:00+00:00,FT,RB Bragantino,Sao Paulo,0,0,1.770923713110708,0.3274332321857402,0.9620245742627817,0.8367392100652469
1005785,2023-07-09T21:30:00+00:00,FT,Gremio,Botafogo,0,2,2.595979777206296,1.2330097577060155,1.4652081070226863,0.12348034304858813
1005787,2023-07-09T21:30:00+00:00,FT,Fortaleza EC,Atletico Paranaense,1,0,0.7594732087072252,1.1737794671436346,1.4646331229892111,1.3808657670772466
1005790,2023-07-16T00:00:00+00:00,FT,Botafogo,RB Bragantino,2,0,1.64408481124327,0.08217875061495815,1.1785867659970402,0.21791366355577438
1005794,2023-07-16T14:00:00+00:00,FT,Cruzeiro,Coritiba,0,0,0.7243422701997342,0.35087090652951763,1.7355236505800276,1.6825247005980173
1005789,2023-07-16T19:00:00+00:00,FT,Fluminense,Flamengo,0,0,1.3529598234375346,0.7465080345782151,1.727582115917371,1.1560836531814707
1005791,2023-07-16T19:00:00+00:00,FT,Sao Paulo,Santos,4,1,0.6402474727713868,0.556867442833811,1.7358314180907295,2.4404060768873315
1005797,2023-07-16T19:00:00+00:00,FT,Fortaleza EC,Cuiaba,0,1,0.8399243903129809,0.7811747823651526,1.182258786951245,0.7581291427720266
1005795,2023-07-16T21:30:00+00:00,FT,Internacional,Palmeiras,0,0,0.6616527346097889,1.0458611353830887,1.1672774113962094,1.134117402710746
1005796,2023-07-16T21:30:00+00:00,FT,Atletico Paranaense,Bahia,2,0,0.9747439728862491,1.253474132948432,1.0086099377227093,1.3678587500275354
1005793,2023-07-17T23:00:00+00:00,FT,Goias,Atletico-MG,0,0,1.5404443642565904,2.405030855423747,0.9427244033201969,1.310786443543963
1005801,2023-07-22T19:00:00+00:00,FT,Palmeiras,Fortaleza EC,3,1,0.7772943528978031,0.7552129802595521,0.5593087633474362,0.8542834768508466
1005799,2023-07-22T19:00:00+00:00,FT,Flamengo,America Mineiro,1,1,1.1504033315127775,0.7698403878308252,1.3185345483191846,2.360179667413883
1005808,2023-07-22T21:30:00+00:00,FT,Cuiaba,Sao Paulo,2,1,1.12136680148188,0.5048410049664928,1.7627283445627344,0.7049163884200902
1005807,2023-07-22T21:30:00+00:00,FT,Bahia,Corinthians,0,0,0.6716370943310903,1.5790547996216018,0.686221057633505,0.607522156848142
1005805,2023-07-23T00:00:00+00:00,FT,Gremio,Atletico-MG,1,0,1.7276788308610884,1.4895519538621467,0.6277636728729724,0.8728575490919724
1005802,2023-07-23T19:00:00+00:00,FT,Santos,Botafogo,2,2,1.4899928674903198,2.9614606284557587,1.7629947571758002,0.05472313449876399
1005804,2023-07-23T19:00:00+00:00,FT,Cruzeiro,Goias,0,1,0.4823422013435326,0.2336462366005249,1.025787609354729,1.6015189570316413
1005803,2023-07-23T19:00:00+00:00,FT,RB Bragantino,Internacional,0,0,0.7848252940265532,0.8133021061055639,0.44059700733556734,0.6964428048651945
1005800,2023-07-23T21:30:00+00:00,FT,Vasco DA Gama,Atletico Paranaense,0,2,0.3210206048984756,1.3632097193273593,1.317278213071276,0.8346930691298824
1005806,2023-07-24T22:00:00+00:00,FT,Coritiba,Fluminense,2,0,1.1556916288672527,1.1203994317182868,0.900940959011365,0.4971024659651603
1005815,2023-07-29T19:00:00+00:00,FT,Internacional,Cuiaba,1,2,0.29350740329751274,0.463941233821264,1.4146911026301392,0.6701456695528522
1005809,2023-07-29T19:00:00+00:00,FT,Fluminense,Santos,1,0,0.6001693997036148,0.9988321634222045,1.6602544578517322,2.6404850866722267
1005816,2023-07-29T19:00:00+00:00,FT,Atletico Paranaense,Cruzeiro,3,3,1.545199137715724,0.5560378104977798,0.3213163154994447,0.48948699297145953
1005812,2023-07-29T21:30:00+00:00,FT,Corinthians,Vasco DA Gama,3,1,0.45695714466030274,0.40455125505557066,0.21376881015195515,1.5759589928541489
1005817,2023-07-29T21:30:00+00:00,FT,Fortaleza EC,RB Bragantino,0,3,0.7064298250501936,1.57061288561495,0.5228179725617155,0.5417880405112144
1005814,2023-07-30T00:00:00+00:00,FT,Atletico-MG,Flamengo,1,2,0.41819005222866723,0.9153029866440398,1.1001924446708486,0.8466772379588884
1005811,2023-07-30T14:00:00+00:00,FT,Sao Paulo,Bahia,0,0,1.5080979037688238,1.1372691562598845,0.44741670105186737,1.051900639779941
1005810,2023-07-30T19:00:00+00:00,FT,Botafogo,Coritiba,4,1,1.842116963503915,0.7041374499097686,1.4375568751768943,0.746363507660387
1005818,2023-07-30T19:00:00+00:00,FT,America Mineiro,Palmeiras,1,4,1.2121133358652079,1.9057486798640335,1.5193259329634585,0.8369330673409775
1005813,2023-07-30T21:30:00+00:00,FT,Goias,Gremio,1,1,1.0171786329297343,1.0668653272356268,1.4845640294495606,0.9918981647216476
1005822,2023-08-05T19:00:00+00:00,FT,Santos,Atletico Paranaense,1,1,1.1062740376955298,2.093101152073074,2.0306254463881155,1.3715195543855123
1005825,2023-08-05T21:30:00+00:00,FT,Internacional,Corinthians,2,2,0.5292441987673566,0.9764810295423288,1.305930606613103,0.6033368088850972
1005823,2023-08-05T21:30:00+00:00,FT,Goias,Fortaleza EC,1,0,1.0114466041776855,1.0445542399798788,0.4707139747229132,2.0475593382795014
